Gm#,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Monday Apr 6,boxscore,SEA,,LAA,W,4,1,,1-0,1,Tied,Hernández,Weaver,Rodney,2:33,D,45909,1.03,+,
2,Tuesday Apr 7,boxscore,SEA,,LAA,L,0,2,,1-1,2,0.5,Wilson,Paxton,Street,2:13,N,26545,1.12,-,
3,Wednesday Apr 8,boxscore,SEA,,LAA,L,3,5,,1-2,4,1.0,Shoemaker,Iwakuma,Street,2:48,N,25495,1.03,--,
4,Friday Apr 10,boxscore,SEA,@,OAK,L,0,12,,1-3,5,1.5,Pomeranz,Walker,,2:44,N,30114,1.01,---,
5,Saturday Apr 11,boxscore,SEA,@,OAK,W,5,4,11.0,2-3,3,0.5,Olson,Abad,Rodney,3:39,D,24355,1.02,+,
6,Sunday Apr 12,boxscore,SEA,@,OAK,W,8,7,10.0,3-3,1,Tied,Rodney,Clippard,Medina,3:11,D,32282,1.03,++,
7,Monday Apr 13,boxscore,SEA,@,LAD,L-wo,5,6,10.0,3-4,2,0.5,García,Leone,,3:04,N,42202,0.95,-,
8,Tuesday Apr 14,boxscore,SEA,@,LAD,L-wo,5,6,,3-5,3,1.5,García,Rodney,,3:40,N,43115,0.92,--,
9,Wednesday Apr 15,boxscore,SEA,@,LAD,L,2,5,,3-6,5,1.5,Anderson,Walker,,2:53,N,51287,0.86,---,
10,Friday Apr 17,boxscore,SEA,,TEX,L,1,3,,3-7,5,2.0,Gallardo,Happ,Feliz,3:00,N,36606,0.94,----,
11,Saturday Apr 18,boxscore,SEA,,TEX,W,3,1,,4-7,5,1.5,Hernández,Lewis,Rodney,3:00,N,43017,0.93,+,
12,Sunday Apr 19,boxscore,SEA,,TEX,W-wo,11,10,,5-7,3,1.0,Medina,Feliz,,3:45,D,31601,0.95,++,
13,Monday Apr 20,boxscore,SEA,,HOU,L,5,7,,5-8,3,2.0,Sipp,Farquhar,Gregerson,3:26,N,15129,1.04,-,
14,Tuesday Apr 21,boxscore,SEA,,HOU,L,3,6,,5-9,5,3.0,McHugh,Furbush,Qualls,3:00,N,13949,1.01,--,
15,Wednesday Apr 22,boxscore,SEA,,HOU,W,3,2,,6-9,3,2.0,Happ,Hernandez,Rodney,2:34,N,14756,0.9,+,
16,Friday Apr 24,boxscore,SEA,,MIN,W,2,0,,7-9,3,2.0,Hernández,Hughes,,2:03,N,25215,0.83,++,
17,Saturday Apr 25,boxscore,SEA,,MIN,L,5,8,,7-10,3,3.0,Stauffer,Paxton,Perkins,3:26,N,33566,0.88,-,
18,Sunday Apr 26,boxscore,SEA,,MIN,L,2,4,11.0,7-11,3,4.0,Fien,Olson,Perkins,3:40,D,35242,0.88,--,
19,Monday Apr 27,boxscore,SEA,@,TEX,W,3,1,,8-11,3,4.0,Walker,Gallardo,Rodney,2:47,N,19748,0.86,+,
20,Tuesday Apr 28,boxscore,SEA,@,TEX,W,2,1,,9-11,2,4.0,Happ,Detwiler,Rodney,2:43,N,23714,0.91,++,
21,Wednesday Apr 29,boxscore,SEA,@,TEX,W,5,2,,10-11,2,4.0,Hernández,Rodriguez,Rodney,3:05,N,26037,0.95,+++,
22,Thursday Apr 30,boxscore,SEA,@,HOU,L-wo,2,3,10.0,10-12,3,5.0,Gregerson,Leone,,3:01,N,19108,1.16,-,
23,Friday May 1,boxscore,SEA,@,HOU,L,3,4,,10-13,3,6.0,Fields,Elías,Gregerson,2:50,N,21834,1.09,--,
24,Saturday May 2,boxscore,SEA,@,HOU,L,4,11,,10-14,3,7.0,McHugh,Walker,,2:38,N,24435,1.02,---,
25,Sunday May 3,boxscore,SEA,@,HOU,L,6,7,,10-15,4,8.0,Neshek,Smith,Gregerson,2:50,D,25283,0.99,----,
26,Monday May 4,boxscore,SEA,@,LAA,W,3,2,,11-15,2,7.0,Hernández,Shoemaker,Rodney,2:36,N,25024,0.8,+,
27,Tuesday May 5,boxscore,SEA,@,LAA,L-wo,4,5,,11-16,4,7.0,Street,Leone,,2:37,N,33394,0.85,-,
28,Wednesday May 6,boxscore,SEA,@,LAA,L-wo,3,4,,11-17,5,7.0,Street,Smith,,2:35,N,25160,0.81,--,
29,Friday May 8,boxscore,SEA,,OAK,W-wo,4,3,11.0,12-17,3,6.5,Smith,Otero,,3:34,N,25187,0.75,+,
30,Saturday May 9,boxscore,SEA,,OAK,W,7,2,,13-17,3,6.5,Happ,Hahn,,3:36,N,37441,0.8,++,
31,Sunday May 10,boxscore,SEA,,OAK,W,4,3,,14-17,3,5.5,Hernández,Chavez,Rodney,2:36,D,42831,0.79,+++,
32,Tuesday May 12,boxscore,SEA,,SDP,W,11,4,,15-17,3,4.5,Paxton,Kennedy,,3:17,N,16148,0.83,++++,
33,Wednesday May 13,boxscore,SEA,,SDP,L,2,4,,15-18,3,5.5,Shields,Walker,Kimbrel,2:59,N,14547,0.87,-,
34,Thursday May 14,boxscore,SEA,,BOS,L,1,2,,15-19,3,6.5,Barnes,Rodney,Uehara,2:53,N,20172,0.83,--,
35,Friday May 15,boxscore,SEA,,BOS,W-wo,2,1,,16-19,3,6.5,Wilhelmsen,Layne,,2:32,N,39477,0.8,+,
36,Saturday May 16,boxscore,SEA,,BOS,L,2,4,,16-20,3,7.5,Porcello,Hernández,Uehara,2:48,N,45055,0.75,-,
37,Sunday May 17,boxscore,SEA,,BOS,W,5,0,,17-20,3,7.5,Paxton,Wright,,2:31,D,39936,0.76,+,
38,Tuesday May 19,boxscore,SEA,@,BAL,L,4,9,,17-21,3,8.0,González,Farquhar,,2:42,N,19494,0.79,-,
39,Wednesday May 20,boxscore,SEA,@,BAL,W,4,2,,18-21,3,8.0,Elías,Chen,Rodney,2:38,N,21710,0.75,+,
